datetime,Prediction
2020-02-13 17:33:32,[101.27371]
2020-02-13 22:28:32,[111.62512]
2020-02-13 22:38:31,[102.486626]
2020-02-13 22:43:32,[109.796135]
2020-02-13 22:48:31,[123.18134]
2020-02-13 23:13:33,[125.746956]
2020-02-13 23:28:32,[122.522545]
2020-02-13 23:33:32,[125.24208]
2020-02-13 23:38:31,[117.34579]
2020-02-13 23:43:31,[119.69933]
2020-02-13 23:48:31,[126.60383]
2020-02-13 23:53:31,[127.36132]
2020-02-13 23:58:32,[126.006874]
2020-02-14 00:03:32,[128.43008]
2020-02-14 00:08:32,[123.99691]
2020-02-14 00:13:31,[105.17761]
2020-02-14 00:18:31,[104.2667]
2020-02-14 00:23:32,[105.00654]
2020-02-14 00:38:31,[102.432816]
2020-02-14 00:43:32,[117.66168]
2020-02-14 00:48:32,[123.90937]
2020-02-14 00:53:31,[122.017235]
2020-02-14 00:58:32,[122.674034]
2020-02-14 01:03:31,[143.27373]
2020-02-14 01:08:31,[145.6115]
2020-02-14 01:13:31,[137.92226]
2020-02-14 01:18:31,[108.37296]
2020-02-14 01:23:31,[129.76062]
2020-02-14 01:28:32,[110.547646]
2020-02-14 01:33:32,[134.59172]
2020-02-14 01:38:32,[107.58574]
2020-02-14 01:43:31,[124.00307]
2020-02-14 01:48:31,[106.07692]
2020-02-14 01:53:31,[91.4153]
2020-02-14 01:58:31,[115.70004]
2020-02-14 02:03:32,[94.86921]
2020-02-14 02:08:32,[122.85219]
2020-02-14 02:13:31,[95.94605]
2020-02-14 02:18:31,[118.65959]
2020-02-14 02:23:32,[127.859505]
2020-02-14 02:28:32,[123.014854]
2020-02-14 02:33:31,[100.475685]
2020-02-14 02:38:31,[91.04315]
2020-02-14 02:43:32,[130.73499]
2020-02-14 02:48:31,[117.53612]
2020-02-14 02:58:31,[125.591]
2020-02-14 03:13:31,[105.02414]
2020-02-14 03:23:31,[121.75839]
2020-02-14 03:28:31,[112.6565]
2020-02-14 03:33:32,[118.370895]
2020-02-14 03:38:31,[121.014]
2020-02-14 03:43:31,[117.38909]
2020-02-14 03:48:31,[112.96295]
2020-02-14 03:53:32,[124.80643]
2020-02-14 03:58:31,[124.174706]
2020-02-14 04:03:31,[105.40545]
2020-02-14 04:38:32,[114.68081]
2020-02-14 04:43:32,[114.237656]
2020-02-14 04:48:31,[112.69408]
2020-02-14 04:53:31,[114.79637]
2020-02-14 04:58:32,[120.45973]
2020-02-14 05:03:31,[103.735756]
2020-02-14 05:08:31,[105.90029]
2020-02-14 05:13:31,[117.15213]
2020-02-14 05:23:32,[118.397415]
2020-02-14 05:28:31,[119.962166]
